Temperatura,Umidade,Chuva,Vento,Delta T,sp,wh,ir,bp
0.020000,0.660000,0.660000,0.020000,0.020000,0.135053,0.400308,0.233231,0.225321
0.020000,0.660000,0.660000,0.020000,0.340000,0.135053,0.400308,0.233231,0.225321
0.020000,0.660000,0.660000,0.020000,0.660000,0.133523,0.400308,0.233231,0.225321
0.020000,0.660000,0.660000,0.020000,0.980000,0.134670,0.400308,0.233231,0.225321
0.020000,0.660000,0.660000,0.340000,0.020000,0.135053,0.400308,0.233231,0.225321
0.020000,0.660000,0.660000,0.340000,0.340000,0.135053,0.400308,0.233231,0.225321
0.020000,0.660000,0.660000,0.340000,0.660000,0.133523,0.400308,0.233231,0.225321
0.020000,0.660000,0.660000,0.340000,0.980000,0.134670,0.400308,0.233231,0.225321
0.020000,0.660000,0.660000,0.660000,0.020000,0.133426,0.400308,0.233231,0.225321
0.020000,0.660000,0.660000,0.660000,0.340000,0.133426,0.400308,0.233231,0.225321
0.020000,0.660000,0.660000,0.660000,0.660000,0.133426,0.400308,0.233231,0.225321
0.020000,0.660000,0.660000,0.660000,0.980000,0.133426,0.400308,0.233231,0.225321
0.020000,0.660000,0.660000,0.980000,0.020000,0.134553,0.400308,0.233231,0.225321
0.020000,0.660000,0.660000,0.980000,0.340000,0.134553,0.400308,0.233231,0.225321
0.020000,0.660000,0.660000,0.980000,0.660000,0.133523,0.400308,0.233231,0.225321
0.020000,0.660000,0.660000,0.980000,0.980000,0.134553,0.400308,0.233231,0.225321
0.020000,0.660000,0.980000,0.020000,0.020000,0.135053,0.402477,0.232508,0.225321
0.020000,0.660000,0.980000,0.020000,0.340000,0.135053,0.402477,0.232508,0.225321
0.020000,0.660000,0.980000,0.020000,0.660000,0.134985,0.402477,0.232508,0.225321
0.020000,0.660000,0.980000,0.020000,0.980000,0.134670,0.402477,0.232508,0.225321
0.020000,0.660000,0.980000,0.340000,0.020000,0.135053,0.402477,0.232508,0.225321
0.020000,0.660000,0.980000,0.340000,0.340000,0.135053,0.402477,0.232508,0.225321
0.020000,0.660000,0.980000,0.340000,0.660000,0.134985,0.402477,0.232508,0.225321
0.020000,0.660000,0.980000,0.340000,0.980000,0.134670,0.402477,0.232508,0.225321
0.020000,0.660000,0.980000,0.660000,0.020000,0.133426,0.402477,0.232508,0.225321
0.020000,0.660000,0.980000,0.660000,0.340000,0.133426,0.402477,0.232508,0.225321
0.020000,0.660000,0.980000,0.660000,0.660000,0.133426,0.402477,0.232508,0.225321
0.020000,0.660000,0.980000,0.660000,0.980000,0.133426,0.402477,0.232508,0.225321
0.020000,0.660000,0.980000,0.980000,0.020000,0.134553,0.402477,0.232508,0.225321
0.020000,0.660000,0.980000,0.980000,0.340000,0.134553,0.402477,0.232508,0.225321
0.020000,0.660000,0.980000,0.980000,0.660000,0.134553,0.402477,0.232508,0.225321
0.020000,0.660000,0.980000,0.980000,0.980000,0.134553,0.402477,0.232508,0.225321
0.020000,0.980000,0.020000,0.020000,0.020000,0.199595,0.402573,0.232476,0.225316
0.020000,0.980000,0.020000,0.020000,0.340000,0.199595,0.402573,0.232476,0.225316
0.020000,0.980000,0.020000,0.020000,0.660000,0.135048,0.402573,0.232476,0.225316
0.020000,0.980000,0.020000,0.020000,0.980000,0.134670,0.402573,0.232476,0.225316
0.020000,0.980000,0.020000,0.340000,0.020000,0.199595,0.402573,0.232476,0.225316
0.020000,0.980000,0.020000,0.340000,0.340000,0.199595,0.402573,0.232476,0.225316
0.020000,0.980000,0.020000,0.340000,0.660000,0.135048,0.402573,0.232476,0.225316
0.020000,0.980000,0.020000,0.340000,0.980000,0.134670,0.402573,0.232476,0.225316
0.020000,0.980000,0.020000,0.660000,0.020000,0.197500,0.402573,0.232476,0.225316
0.020000,0.980000,0.020000,0.660000,0.340000,0.197500,0.402573,0.232476,0.225316
0.020000,0.980000,0.020000,0.660000,0.660000,0.133426,0.402573,0.232476,0.225316
0.020000,0.980000,0.020000,0.660000,0.980000,0.133426,0.402573,0.232476,0.225316
0.020000,0.980000,0.020000,0.980000,0.020000,0.198946,0.402573,0.232476,0.225316
0.020000,0.980000,0.020000,0.980000,0.340000,0.198946,0.402573,0.232476,0.225316
0.020000,0.980000,0.020000,0.980000,0.660000,0.134553,0.402573,0.232476,0.225316
0.020000,0.980000,0.020000,0.980000,0.980000,0.134553,0.402573,0.232476,0.225316
0.020000,0.980000,0.340000,0.020000,0.020000,0.199637,0.402571,0.232476,0.225316
0.020000,0.980000,0.340000,0.020000,0.340000,0.317515,0.402571,0.232476,0.225316
0.020000,0.980000,0.340000,0.020000,0.660000,0.135048,0.402571,0.232476,0.225316
0.020000,0.980000,0.340000,0.020000,0.980000,0.134670,0.402571,0.232476,0.225316
0.020000,0.980000,0.340000,0.340000,0.020000,0.199637,0.402571,0.232476,0.225316
0.020000,0.980000,0.340000,0.340000,0.340000,0.318647,0.402571,0.232476,0.225316
0.020000,0.980000,0.340000,0.340000,0.660000,0.135048,0.402571,0.232476,0.225316
0.020000,0.980000,0.340000,0.340000,0.980000,0.134670,0.402571,0.232476,0.225316
0.020000,0.980000,0.340000,0.660000,0.020000,0.133426,0.402571,0.232476,0.225316
0.020000,0.980000,0.340000,0.660000,0.340000,0.133426,0.402571,0.232476,0.225316
0.020000,0.980000,0.340000,0.660000,0.660000,0.133426,0.402571,0.232476,0.225316
0.020000,0.980000,0.340000,0.660000,0.980000,0.133426,0.402571,0.232476,0.225316
0.020000,0.980000,0.340000,0.980000,0.020000,0.134553,0.402571,0.232476,0.225316
0.020000,0.980000,0.340000,0.980000,0.340000,0.134553,0.402571,0.232476,0.225316
0.020000,0.980000,0.340000,0.980000,0.660000,0.134553,0.402571,0.232476,0.225316
0.020000,0.980000,0.340000,0.980000,0.980000,0.134553,0.402571,0.232476,0.225316
0.020000,0.980000,0.660000,0.020000,0.020000,0.135048,0.402571,0.232476,0.225316
0.020000,0.980000,0.660000,0.020000,0.340000,0.135048,0.402571,0.232476,0.225316
0.020000,0.980000,0.660000,0.020000,0.660000,0.133523,0.402571,0.232476,0.225316
0.020000,0.980000,0.660000,0.020000,0.980000,0.134670,0.402571,0.232476,0.225316
0.020000,0.980000,0.660000,0.340000,0.020000,0.135048,0.402571,0.232476,0.225316
0.020000,0.980000,0.660000,0.340000,0.340000,0.135048,0.402571,0.232476,0.225316
0.020000,0.980000,0.660000,0.340000,0.660000,0.133523,0.402571,0.232476,0.225316
0.020000,0.980000,0.660000,0.340000,0.980000,0.134670,0.402571,0.232476,0.225316
0.020000,0.980000,0.660000,0.660000,0.020000,0.133426,0.402571,0.232476,0.225316
0.020000,0.980000,0.660000,0.660000,0.340000,0.133426,0.402571,0.232476,0.225316
0.020000,0.980000,0.660000,0.660000,0.660000,0.133426,0.402571,0.232476,0.225316
0.020000,0.980000,0.660000,0.660000,0.980000,0.133426,0.402571,0.232476,0.225316
0.020000,0.980000,0.660000,0.980000,0.020000,0.134553,0.402571,0.232476,0.225316
0.020000,0.980000,0.660000,0.980000,0.340000,0.134553,0.402571,0.232476,0.225316
0.020000,0.980000,0.660000,0.980000,0.660000,0.133523,0.402571,0.232476,0.225316
0.020000,0.980000,0.660000,0.980000,0.980000,0.134553,0.402571,0.232476,0.225316
0.020000,0.980000,0.980000,0.020000,0.020000,0.135048,0.402571,0.232476,0.225316
0.020000,0.980000,0.980000,0.020000,0.340000,0.135048,0.402571,0.232476,0.225316
0.020000,0.980000,0.980000,0.020000,0.660000,0.134985,0.402571,0.232476,0.225316
0.020000,0.980000,0.980000,0.020000,0.980000,0.134670,0.402571,0.232476,0.225316
0.020000,0.980000,0.980000,0.340000,0.020000,0.135048,0.402571,0.232476,0.225316
0.020000,0.980000,0.980000,0.340000,0.340000,0.135048,0.402571,0.232476,0.225316
0.020000,0.980000,0.980000,0.340000,0.660000,0.134985,0.402571,0.232476,0.225316
0.020000,0.980000,0.980000,0.340000,0.980000,0.134670,0.402571,0.232476,0.225316
0.020000,0.980000,0.980000,0.660000,0.020000,0.133426,0.402571,0.232476,0.225316
0.020000,0.980000,0.980000,0.660000,0.340000,0.133426,0.402571,0.232476,0.225316
0.020000,0.980000,0.980000,0.660000,0.660000,0.133426,0.402571,0.232476,0.225316
0.020000,0.980000,0.980000,0.660000,0.980000,0.133426,0.402571,0.232476,0.225316
0.020000,0.980000,0.980000,0.980000,0.020000,0.134553,0.402571,0.232476,0.225316
0.020000,0.980000,0.980000,0.980000,0.340000,0.134553,0.402571,0.232476,0.225316
0.020000,0.980000,0.980000,0.980000,0.660000,0.134553,0.402571,0.232476,0.225316
0.020000,0.980000,0.980000,0.980000,0.980000,0.134553,0.402571,0.232476,0.225316
0.340000,0.020000,0.020000,0.020000,0.020000,0.317535,0.500000,0.364951,0.167524
0.340000,0.020000,0.020000,0.020000,0.340000,0.500000,0.500000,0.364951,0.167524
0.340000,0.020000,0.020000,0.020000,0.660000,0.500000,0.500000,0.364951,0.167524
0.340000,0.020000,0.020000,0.020000,0.980000,0.317028,0.500000,0.364951,0.167524
0.340000,0.020000,0.020000,0.340000,0.020000,0.317535,0.500000,0.364951,0.167524
0.340000,0.020000,0.020000,0.340000,0.340000,0.500000,0.500000,0.364951,0.167524
0.340000,0.020000,0.020000,0.340000,0.660000,0.500000,0.500000,0.364951,0.167524
0.340000,0.020000,0.020000,0.340000,0.980000,0.317028,0.500000,0.364951,0.167524
0.340000,0.020000,0.020000,0.660000,0.020000,0.315450,0.500000,0.364951,0.167524
0.340000,0.020000,0.020000,0.660000,0.340000,0.315450,0.500000,0.364951,0.167524
0.340000,0.020000,0.020000,0.660000,0.660000,0.315450,0.500000,0.364951,0.167524
0.340000,0.020000,0.020000,0.660000,0.980000,0.315450,0.500000,0.364951,0.167524
0.340000,0.020000,0.020000,0.980000,0.020000,0.316876,0.500000,0.364951,0.167524
0.340000,0.020000,0.020000,0.980000,0.340000,0.316876,0.500000,0.364951,0.167524
0.340000,0.020000,0.020000,0.980000,0.660000,0.316876,0.500000,0.364951,0.167524
0.340000,0.020000,0.020000,0.980000,0.980000,0.316876,0.500000,0.364951,0.167524
0.340000,0.020000,0.340000,0.020000,0.020000,0.317535,0.500000,0.364952,0.167524
0.340000,0.020000,0.340000,0.020000,0.340000,0.500000,0.500000,0.364952,0.167524
0.340000,0.020000,0.340000,0.020000,0.660000,0.478303,0.500000,0.364952,0.167524
0.340000,0.020000,0.340000,0.020000,0.980000,0.317028,0.500000,0.364952,0.167524
0.340000,0.020000,0.340000,0.340000,0.020000,0.317535,0.500000,0.364952,0.167524
0.340000,0.020000,0.340000,0.340000,0.340000,0.500000,0.500000,0.364952,0.167524
0.340000,0.020000,0.340000,0.340000,0.660000,0.478303,0.500000,0.364952,0.167524
0.340000,0.020000,0.340000,0.340000,0.980000,0.317028,0.500000,0.364952,0.167524
0.340000,0.020000,0.340000,0.660000,0.020000,0.315450,0.500000,0.364952,0.167524
0.340000,0.020000,0.340000,0.660000,0.340000,0.315450,0.500000,0.364952,0.167524
0.340000,0.020000,0.340000,0.660000,0.660000,0.315450,0.500000,0.364952,0.167524
0.340000,0.020000,0.340000,0.660000,0.980000,0.315450,0.500000,0.364952,0.167524
0.340000,0.020000,0.340000,0.980000,0.020000,0.316876,0.500000,0.364952,0.167524
0.340000,0.020000,0.340000,0.980000,0.340000,0.316876,0.500000,0.364952,0.167524
0.340000,0.020000,0.340000,0.980000,0.660000,0.316876,0.500000,0.364952,0.167524
0.340000,0.020000,0.340000,0.980000,0.980000,0.316876,0.500000,0.364952,0.167524
0.340000,0.020000,0.660000,0.020000,0.020000,0.317535,0.500000,0.364952,0.167524
0.340000,0.020000,0.660000,0.020000,0.340000,0.500000,0.500000,0.364952,0.167524
0.340000,0.020000,0.660000,0.020000,0.660000,0.315568,0.500000,0.364952,0.167524
0.340000,0.020000,0.660000,0.020000,0.980000,0.317028,0.500000,0.364952,0.167524
0.340000,0.020000,0.660000,0.340000,0.020000,0.317535,0.500000,0.364952,0.167524
0.340000,0.020000,0.660000,0.340000,0.340000,0.500000,0.500000,0.364952,0.167524
0.340000,0.020000,0.660000,0.340000,0.660000,0.315568,0.500000,0.364952,0.167524
0.340000,0.020000,0.660000,0.340000,0.980000,0.317028,0.500000,0.364952,0.167524
0.340000,0.020000,0.660000,0.660000,0.020000,0.315450,0.500000,0.364952,0.167524
0.340000,0.020000,0.660000,0.660000,0.340000,0.315450,0.500000,0.364952,0.167524
0.340000,0.020000,0.660000,0.660000,0.660000,0.315450,0.500000,0.364952,0.167524
0.340000,0.020000,0.660000,0.660000,0.980000,0.315450,0.500000,0.364952,0.167524
0.340000,0.020000,0.660000,0.980000,0.020000,0.316876,0.500000,0.364952,0.167524
0.340000,0.020000,0.660000,0.980000,0.340000,0.316876,0.500000,0.364952,0.167524
0.340000,0.020000,0.660000,0.980000,0.660000,0.315568,0.500000,0.364952,0.167524
0.340000,0.020000,0.660000,0.980000,0.980000,0.316876,0.500000,0.364952,0.167524
0.340000,0.020000,0.980000,0.020000,0.020000,0.317535,0.500000,0.364952,0.167524
0.340000,0.020000,0.980000,0.020000,0.340000,0.500000,0.500000,0.364952,0.167524
0.340000,0.020000,0.980000,0.020000,0.660000,0.317441,0.500000,0.364952,0.167524
